sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:abandon:verb:1,abandon,verb,离弃；放弃,v 离弃；放弃,/ə'bændən/,/ə'bænd(ə)n/,How could she abandon her own child?,她怎么能抛弃自己的孩子？
en:abbreviation:noun:1,abbreviation,noun,缩略语,n 缩略语,/əˌbrivɪ'eʃən/,/əbriːvɪ'eɪʃ(ə)n/,The abbreviation for Kansas is KS.,的缩写是。
en:abnormal:adjective:1,abnormal,adjective,反常的；变态的,adj 反常的；变态的,/æbˈnɔːrml/,/æb'nɔːml/,abnormal behaviour,反常行为
en:abolish:verb:1,abolish,verb,废除,v 废除,/ə'bɑlɪʃ/,/ə'bɒlɪʃ/,Slavery was abolished in the US in the 19th century.,美国于19世纪废除了奴隶制。
en:aboriginal:noun:1,aboriginal,noun,土著(的)；土生动植物(的),n&a 土著(的)；土生动植物(的),"/,æbə'rɪdʒənl/",/æbə'rɪdʒɪn(ə)l/,He remained fascinated by the Aboriginals' tales.,他一直对澳大利亚土著人的故事很着迷。
en:abort:verb:1,abort,verb,取消；流产,v 取消；流产,/ə'bɔrt/,/ə'bɔːt/,The disease causes pregnant animals to abort.,这种疾病会导致怀孕的动物流产。
en:abortion:noun:1,abortion,noun,流产；(计划)失败,n 流产；(计划)失败,/ə'bɔrʃən/,/ə'bɔːʃ(ə)n/,She decided to have an abortion .,她决定做人工流产。
en:abound:verb:1,abound,verb,多；富于,v 多；富于,/ə'baʊnd/,/ə'baʊnd/,"Rumors of such coordination abound, but as with many rumors, they have no basis in fact.",关于这类协调的谣传很多；但如同许多其他谣传一样，它们没有事实根据。
en:abrasion:noun:1,abrasion,noun,磨损，擦伤处,n 磨损，擦伤处,/ə'breʒən/,/ə'breɪʒ(ə)n/,She was treated for cuts and abrasions.,她因划伤和擦伤而接受治疗。
en:abridge:verb:1,abridge,verb,(书等)删节,v (书等)删节,/ə'brɪdʒ/,/ə'brɪdʒ/,Article 33 A book publisher may alter or abridge a work with the permission of the copyright owner.,第三十三条图书出版者经作者许可，可以对作品修改、删节。
