sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:abandonment:noun:1,abandonment,noun,放弃,n 放弃,/ə'bændənmənt/,/əˈbændənmənt/,...memories of her father's complete abandonment of her.,…她父亲对她的彻底抛弃的那些记忆。
en:abnormally:adverb:1,abnormally,adverb,不正常的,adv 不正常的,,/æb'nɔ:məlɪ/,Both were big at birth but were not abnormally large.,这两个孩子出生时都比较大，但并非异常的大。
en:absolutely:adverb:1,absolutely,adverb,当然,adv 当然,/'æbsəlutli/,/ˈæbsəlu:tli/,‘Do you let your kids travel alone at night?’ ‘Absolutely not!’,“你会让孩子们晚上单独外出吗？”“当然不行！”
en:abstract:adjective:1,abstract,adjective,抽象的,adj 抽象的,/'æbstrækt/,/'æbstrækt/,"By the age of seven, children are capable of thinking in abstract terms .",儿童到了七岁就具有抽象思维的能力。
en:abuse:noun:1,abuse,noun,虐待,n 虐待；v 滥用,/ə'bjus/,/ə'bju:s/,several cases of child abuse,数宗虐待儿童案
en:accelerate:verb:1,accelerate,verb,加速,v 加速,/əkˈsɛləˌret/,/ək'seləreɪt/,measures to accelerate the rate of economic growth,加快经济增长速度的措施
en:accomplish:verb:1,accomplish,verb,实现,v 实现,/ə'kɑmplɪʃ/,/ə'kʌmplɪʃ/,We have accomplished all we set out to do.,所有计划要做的事情，我们都已完成。
en:accountant:noun:1,accountant,noun,会计,n 会计,/ə'kaʊntənt/,/əˈkaʊntənt/,The boss dropped an accountant from the payroll.,老板把一名会计师从在职人员名单中除了名。
en:accrue:verb:1,accrue,verb,积累,v 积累,/ə'kru/,/ə'kru:/,Interest will accrue until payment is made.,利息将会累计增加，直至付清款项。
en:accurate:adjective:1,accurate,adjective,精确的,adj 精确的,/'ækjərət/,/ˈækjərət/,The brochure tries to give a fair and accurate description of each hotel.,该手册尽量公正、准确地介绍每一家酒店。
en:accuse:verb:1,accuse,verb,指控,v 指控,/ə'kjuz/,/ə'kju:z/,The professor stands accused of (= has been accused of ) stealing his student’s ideas and publishing them.,那位教授被指控剽窃学生的观点拿去发表。
en:accustom:verb:1,accustom,verb,使习惯,v 使习惯,/ə'kʌstəm/,/ə'kʌstəm/,She tried to accustom herself to the tight bandages.,她尝试着使自己习惯那些紧绷的绷带。
en:achieve:verb:1,achieve,verb,达到，实现,v 达到，实现,/ə'tʃiv/,/ə'tʃi:v/,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。
en:acquaintance:noun:1,acquaintance,noun,熟人,n 熟人,/ə'kwentəns/,/ə'kweɪntəns/,She was a casual acquaintance of my family in Vienna.,她是我们家在维也纳的一个交情不深的朋友。
en:activate:verb:1,activate,verb,激活,v 激活,/'æktə'vet/,/'æktɪveɪt/,Cooking fumes may activate the alarm.,烹调时的油烟可能会触发警报器。
en:acutely:adverb:1,acutely,adverb,敏锐地,adv 敏锐地,/ə'kjutli/,/əˈkju:tli/,"We continue to conduct tests, but increasingly, we conduct long conversations with her, acutely aware that our creation will raise many ethical questions on the part of the public.",我们将继续进行测试，但越来越多地，随着长时间的交谈，我们敏锐地意识到，我们的作品将在公众当中引起许多道德问题。
en:addict:verb:1,addict,verb,上瘾，沉溺,v 上瘾，沉溺,/'ædɪkt (for n.); əˈdɪkt (for v.)/,/'ædɪkt/,"Meanwhile, Walt's meth-business partner, the addict Jesse, is still recovering from the drug-related death of his girlfriend Jane at the end of last season.",而沃特的制毒搭档——瘾君子杰西还未从女朋友之死的痛苦中恢复过来。 他的女朋友简在上一季结尾时死于毒品。
en:address:verb:1,address,verb,解决,v 解决,/ə'drɛs/,/ə'dres/,email address,电子邮箱信箱
en:administration:noun:1,administration,noun,管理，政府,n 管理，政府,"/əd,mɪnɪ'streʃən/",/ədˌmɪnɪˈstreɪʃn/,We’re looking for someone with experience in administration.,我们正在寻找一个有管理经验的人。
en:adopt:verb:1,adopt,verb,采纳,v 采纳,/ə'dɑpt/,/ə'dɒpt/,The courts were asked to adopt a more flexible approach to young offenders.,法庭被要求对少年犯采取更为灵活的处理方法。
en:adventure:noun:1,adventure,noun,冒险,n 冒险,/əd'vɛntʃɚ/,/əd'ventʃə(r)/,a great adventure,一大奇遇
en:adventurer:noun:1,adventurer,noun,冒险者,n 冒险者,/əd'vɛntʃərɚ/,/ədˈventʃərə(r)/,an adventurer travelling the world,周游世界的冒险家
en:adverse:adjective:1,adverse,adjective,相反的，敌对的,adj 相反的，敌对的,"/ædˈvɚs, ˈædˌvɚs/",/ˈædvɜ:s/,They fear it could have an adverse effect on global financial markets.,他们担心这会对全球金融市场产生不利影响。
en:adversely:adverb:1,adversely,adverb,不利地,adv 不利地,/æd'vɝsli/,/əd'vɜ:slɪ/,I think everyone has something from their past that they're worried might adversely affect how they raise their children.,我想每个人都会担心自己过去的某些事可能会对他们如何培养孩子产生不利的影响。
en:affection:noun:1,affection,noun,喜爱,n 喜爱,/ə'fɛkʃən/,/əˈfekʃn/,She looked back on those days with affection .,她深情地回顾那些日子。
en:agenda:noun:1,agenda,noun,议程,n 议程,/ə'dʒɛndə/,/ə'dʒendə/,The Republicans have stuck to their conservative agenda.,共和党人坚持自己的保守议题。
en:aggravate:verb:1,aggravate,verb,加重，加剧,v 加重，加剧,/'æɡrəvet/,/'æɡrəveɪt/,Their money problems were further aggravated by a rise in interest rates.,由于利率上调，他们的财务问题更加严重。
en:agonize:verb:1,agonize,verb,使痛苦,v 使痛苦,/'æɡənaɪz/,/'æɡənaɪz/,"As a mother, I agonize over what my children will inherit.",作为一个母亲，我对我的孩子们将要继承的东西感到极度痛苦。
en:aid:verb:1,aid,verb,援助，有助于,v 援助，有助于,/ed/,/eɪd/,an index to aid the reader,方便读者的索引
en:alert:adjective:1,alert,adjective,机警的,adj 机警的；v 提醒,/ə'lɝt/,/ə'lɜ:t/,"The animal raised its head, suddenly alert.",那只动物突然警觉地抬起头来。
en:alien:adjective:1,alien,adjective,陌生的,adj 陌生的,"/ˈeliən,ˈeljən/",/'eɪlɪən/,the alien environment of the city,城里陌生的环境
en:allergic:adjective:1,allergic,adjective,过敏的,adj 过敏的,/ə'lɝdʒɪk/,/əˈlɜ:dʒɪk/,an allergic reaction to nuts,对坚果的过敏性反应
en:alternative:noun:1,alternative,noun,代替品,n 代替品,/ɔl'tɝnətɪv/,/ɔ:lˈtɜ:nətɪv/,New ways to treat arthritis may provide an alternative to painkillers.,治疗关节炎的新方法可能会提供一种止痛药的替代品。
en:analytical:adjective:1,analytical,adjective,分析的,adj 分析的,"/,ænə'lɪtɪkl/",/ˌænəˈlɪtɪkl/,She’s got an analytical mind.,她思维缜密。
en:ancient:adjective:1,ancient,adjective,古代的,adj 古代的,/ˈeɪnʃənt/,/'eɪnʃənt/,the ancient civilizations of Asia,亚洲的古代文明
en:ankle:noun:1,ankle,noun,脚踝,n 脚踝,/'æŋkl/,/ˈæŋkl/,slender ankles,纤细的脚踝
en:anonymous:adjective:1,anonymous,adjective,匿名的,adj 匿名的,/ə'nɑnəməs/,/ə'nɒnɪməs/,the anonymous author of a collection of poems,一本诗集的佚名作者
en:anticipate:verb:1,anticipate,verb,期望，预期,v 期望，预期,/æn'tɪsə'pet/,/æn'tɪsɪpeɪt/,Sales are better than anticipated.,销量比预期要好。
en:anxiety:noun:1,anxiety,noun,焦虑,n 焦虑,/æŋ'zaɪəti/,/æŋ'zaɪətɪ/,his feelings of anxiety,他焦虑的心情
en:apartment:noun:1,apartment,noun,公寓,n 公寓,/ə'pɑrtmənt/,/əˈpɑ:tmənt/,She lives in a small apartment.,她住在一套小公寓里。
en:apathy:noun:1,apathy,noun,冷漠,n 冷漠,/'æpəθi/,/ˈæpəθi/,The campaign failed because of public apathy.,由于公众反应冷淡，这次运动失败了。
en:apologize:verb:1,apologize,verb,道歉,v 道歉,/ə'pɑlədʒaɪz/,/ə'pɒlədʒaɪz/,"I’m so sorry, I do apologize.",非常对不起，我真心道歉。
en:applicable:adjective:1,applicable,adjective,可应用的,adj 可应用的,/'æplɪkəbl/,/əˈplɪkəbl/,What is a reasonable standard for one family is not applicable for another.,对一个家庭合理的标准对于另一个家庭并不适用。
en:applicant:noun:1,applicant,noun,申请者,n 申请者,/'æplɪkənt/,/ˈæplɪkənt/,We have had lots of applicants for these positions.,对这些职位我们已有了很多申请人。
en:appoint:verb:1,appoint,verb,任命,v 任命,/ə'pɔɪnt/,/ə'pɔɪnt/,officials appointed by the government,政府任命的官员
en:appreciative:adjective:1,appreciative,adjective,表示赞赏的，感谢的,adj 表示赞赏的，感谢的,/ə'priʃətɪv/,/əˈpri:ʃətɪv/,There is a murmur of appreciative laughter.,有一阵低低的赞赏的笑声。
en:approach:noun:1,approach,noun,方法,n 方法,/ə'protʃ/,/ə'prəʊtʃ/,He decided to adopt a different approach and teach the Bible through story-telling.,他决定采用一种不同的方法，通过讲故事来教授《圣经》。
en:appropriate:adjective:1,appropriate,adjective,适当的,adj 适当的,/əˈpropriɪt/,/ə'prəʊprɪət/,The timing of the announcement was particularly appropriate .,通告发布的时机很合适。
en:approve:verb:1,approve,verb,赞同,v 赞同,/ə'prʊv/,/ə'pru:v/,"You've never approved of Henry, have you?",你从未赞赏过亨利，是吧？
en:approximately:adverb:1,approximately,adverb,大约,adv 大约,/ə'prɑksɪmətli/,/əˈprɒksɪmətli/,approximately equal,约等于，近似等于
en:arm:verb:1,arm,verb,装备，武装,v 装备，武装,/ɑrm/,/ɑ:m/,in arms,怀抱着的；武装起来的
en:arouse:verb:1,arouse,verb,唤起,v 唤起,/ə'raʊz/,/ə'raʊz/,Matt’s behavior was arousing the interest of the neighbors.,马特的行为渐渐引起了邻居的兴趣。
en:arrogant:adjective:1,arrogant,adjective,傲慢无礼的,adj 傲慢无礼的,/'ærəɡənt/,/ˈærəgənt/,He was unbearably arrogant.,他的傲慢让人无法忍受。
en:artificial:adjective:1,artificial,adjective,人造的，虚伪的,adj 人造的，虚伪的,"/,ɑrtɪ'fɪʃl/",/ˌɑ:tɪ'fɪʃl/,artificial flowers,假花
