sense_uid	lemma	pos	quiz_prompt_zh	zh_gloss	definition_en	cefr	ipa_us	ipa_uk	example_en	example_zh	datasets
apple.n.01	apple	noun	苹果（一种水果）	苹果	a round fruit with red or green skin	A1	/ˈæpəl/	/ˈæpəl/	She ate an apple.	她吃了一个苹果。	primary-school|junior-high
book.n.01	book	noun	书（装订成册的读物）	书	a set of printed pages bound together	A1	/bʊk/	/bʊk/	This book is short.	这本书很短。	primary-school|junior-high
bright.adj.01	bright	adjective	明亮的（光线充足）	明亮的	full of light	A2	/braɪt/	/braɪt/	The room is bright.	这个房间很明亮。	primary-school|junior-high
carry.v.01	carry	verb	携带（拿着移动）	携带；搬运	to hold something while moving it	A1	/ˈkæri/	/ˈkæri/	I carry a small bag.	我带着一个小包。	primary-school|junior-high
choose.v.01	choose	verb	选择（从多个选项中挑选）	选择	to decide which thing you want	A1	/tʃuːz/	/tʃuːz/	Choose one answer.	选择一个答案。	primary-school|junior-high
clean.adj.01	clean	adjective	干净的（没有污垢）	干净的	not dirty	A1	/kliːn/	/kliːn/	The cup is clean.	这个杯子很干净。	primary-school|junior-high
family.n.01	family	noun	家庭（有亲属关系的人）	家庭；家人	a group of related people	A1	/ˈfæməli/	/ˈfæməli/	Her family lives here.	她的家人住在这里。	primary-school|junior-high
friend.n.01	friend	noun	朋友（彼此喜欢和信任的人）	朋友	a person you like and trust	A1	/frend/	/frend/	Tom is my friend.	汤姆是我的朋友。	primary-school|junior-high
happy.adj.01	happy	adjective	高兴的（感到愉快）	高兴的	feeling pleased	A1	/ˈhæpi/	/ˈhæpi/	They look happy.	他们看起来很高兴。	primary-school|junior-high
listen.v.01	listen	verb	倾听（注意声音）	听；倾听	to pay attention to sound	A1	/ˈlɪsən/	/ˈlɪsən/	Please listen to me.	请听我说。	primary-school|junior-high
morning.n.01	morning	noun	早晨（一天开始的时段）	早晨	the early part of the day	A1	/ˈmɔːrnɪŋ/	/ˈmɔːnɪŋ/	We walk every morning.	我们每天早晨散步。	primary-school|junior-high
question.n.01	question	noun	问题（需要回答的话）	问题	a sentence that asks for information	A1	/ˈkwestʃən/	/ˈkwestʃən/	I have a question.	我有一个问题。	primary-school|junior-high
river.n.01	river	noun	河流（流动的天然水道）	河流	a natural stream of water	A1	/ˈrɪvər/	/ˈrɪvə/	The river is wide.	这条河很宽。	primary-school|junior-high
school.n.01	school	noun	学校（学习的场所）	学校	a place where students learn	A1	/skuːl/	/skuːl/	The school opens at eight.	学校八点开门。	primary-school|junior-high
simple.adj.01	simple	adjective	简单的（容易理解）	简单的	easy to understand or do	A2	/ˈsɪmpəl/	/ˈsɪmpəl/	The rule is simple.	这条规则很简单。	primary-school|junior-high
speak.v.01	speak	verb	说话（用语言表达）	说；讲话	to use your voice to say words	A1	/spiːk/	/spiːk/	She can speak English.	她会说英语。	primary-school|junior-high
strong.adj.01	strong	adjective	强壮的（有很大力量）	强壮的；有力的	having much physical power	A1	/strɔːŋ/	/strɒŋ/	The bridge is strong.	这座桥很坚固。	primary-school|junior-high
travel.v.01	travel	verb	旅行（去往别处）	旅行	to go from one place to another	A1	/ˈtrævəl/	/ˈtrævəl/	We travel by train.	我们乘火车旅行。	primary-school|junior-high
