sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:a:noun:1,a,noun,字母A；第一流的；学业成绩达最高标准的评价符号,n 字母A；第一流的；学业成绩达最高标准的评价符号；abbr [物]安（ampere）,/ə; e/,/ə; eɪ/,Would you like a sandwich?,来块三明治好吗？
en:abandon:noun:1,abandon,noun,放任；狂热,n 放任；狂热；v 遗弃；放弃,/ə'bændən/,/ə'bænd(ə)n/,He approached life with reckless abandon–I don't think he himself knew what he was going to do next.,他以不计后果的放纵态度对待生活–我想他自己都不知道他接下来要做什么。
en:ability:noun:1,ability,noun,能力，能耐；才能,n 能力，能耐；才能,/ə'bɪləti/,/ə'bɪlɪtɪ/,The test measures your mathematical ability.,这种测试考查的是数学能力。
en:able:adjective:1,able,adjective,能；[经管] 有能力的；能干的,adj 能；[经管] 有能力的；能干的；n (Able)人名；(伊朗)阿布勒；(英)埃布尔,/'ebl/,/'eɪb(ə)l/,one of my more able students,我班上能力比较强的学生之一
en:abnormal:adjective:1,abnormal,adjective,反常的，不规则的；变态的,adj 反常的，不规则的；变态的,/æbˈnɔːrml/,/æb'nɔːml/,abnormal behaviour,反常行为
en:aboard:adverb:1,aboard,adverb,在飞机上；[船] 在船上；在火车上,adv 在飞机上；[船] 在船上；在火车上；prep 在…上,/ə'bɔrd/,/ə'bɔːd/,"The plane crashed, killing all 200 people aboard.",飞机失事，机上200人全部遇难。
en:abolish:verb:1,abolish,verb,废除，废止；取消，革除,v 废除，废止；取消，革除,/ə'bɑlɪʃ/,/ə'bɒlɪʃ/,Slavery was abolished in the US in the 19th century.,美国于19世纪废除了奴隶制。
en:abortion:noun:1,abortion,noun,流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折,n 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折,/ə'bɔrʃən/,/ə'bɔːʃ(ə)n/,She decided to have an abortion .,她决定做人工流产。
en:about:preposition:1,about,preposition,关于；大约,prep 关于；大约；adj 在附近的；四处走动的；在起作用的；adv 大约；周围；到处；n 大致；粗枝大叶；不拘小节的人,/ə'baʊt/,/ə'baʊt/,a book about politics,一本有关政治的书
en:above:preposition:1,above,preposition,超过；在……上面；在……之上,prep 超过；在……上面；在……之上；adv 在上面；在上文；adj 上文的；n 上文,/ə'bʌv/,/ə'bʌv/,Our office is above the hairdresser’s.,我们的办公室在理发店上面。
en:abroad:adverb:1,abroad,adverb,在国外；到海外,adv 在国外；到海外；adj 往国外的；n 海外；异国,/ə'brɔd/,/ə'brɔːd/,I’ve never lived abroad before.,我以前从未在国外生活过。
en:abrupt:adjective:1,abrupt,adjective,生硬的；突然的；唐突的；陡峭的,adj 生硬的；突然的；唐突的；陡峭的,/ə'brʌpt/,/ə'brʌpt/,an abrupt change of plan,计划的突然改变
en:absence:noun:1,absence,noun,没有；缺乏；缺席；不注意,n 没有；缺乏；缺席；不注意,/'æbsns/,/'æbs(ə)ns/,"In the absence of any evidence, the police had to let Myers go.",警察没有证据，只好把迈尔斯放了。
en:absent:adjective:1,absent,adjective,缺席的；缺少的；心不在焉的；茫然的,adj 缺席的；缺少的；心不在焉的；茫然的；v 使缺席,/ˈæbsənt/,/'æbs(ə)nt/,"The dull, absent look on her face implied boredom.",她脸上呆滞、茫然的神情说明她觉得无聊了。
en:absolute:adjective:1,absolute,adjective,绝对的；完全的；专制的,adj 绝对的；完全的；专制的；n 绝对；绝对事物,/'æbsəlut/,/'æbsəluːt/,I have absolute confidence in her.,我对她充满信心。
en:absorb:verb:1,absorb,verb,吸收；吸引；承受；理解；使…全神贯注,v 吸收；吸引；承受；理解；使…全神贯注,/æbˈsɔrb; æbˈzɔrb; əbˈsɔrb/,/əb'zɔːb; -'sɔːb/,Plants absorb nutrients from the soil.,植物从土壤中吸收养分。
en:abstract:noun:1,abstract,noun,摘要；抽象；抽象的概念,n 摘要；抽象；抽象的概念；adj 抽象的；深奥的；v 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉,/'æbstrækt/,/'æbstrækt/,Talking about crime in the abstract just isn’t enough.,抽象地谈论犯罪根本不足以说明问题。
en:absurd:adjective:1,absurd,adjective,荒谬的；可笑的,adj 荒谬的；可笑的；n 荒诞；荒诞作品,"/əbˈsɚd, -ˈzɚd/",/əb'sɜːd/,It seems an absurd idea.,这似乎是个荒唐的想法。
en:abundant:adjective:1,abundant,adjective,丰富的；充裕的；盛产,adj 丰富的；充裕的；盛产,/ə'bʌndənt/,/ə'bʌnd(ə)nt/,an abundant supply of fresh water,充足的淡水供应
en:abuse:noun:1,abuse,noun,滥用；虐待；辱骂；弊端；恶习，陋习,n 滥用；虐待；辱骂；弊端；恶习，陋习；v 滥用；虐待；辱骂,/ə'bjus/,/ə'bjuːz/,several cases of child abuse,数宗虐待儿童案
en:academic:adjective:1,academic,adjective,学术的；理论的；学院的,adj 学术的；理论的；学院的；n 大学生，大学教师；学者,"/,ækə'dɛmɪk/",/ækə'demɪk/,He possessed no academic qualifications.,他没有学历。
