sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:ruler:unknown:1,ruler,unknown,尺子,尺子,/'rulɚ/,/'ruːlə/,a 12-inch ruler,一把12英寸的尺子
en:pencil:unknown:1,pencil,unknown,铅笔,铅笔,/'pɛnsl/,/'pens(ə)l; -sɪl/,a sharp pencil,尖尖的铅笔
en:eraser:unknown:1,eraser,unknown,橡皮,橡皮,/ɪ'resɚ/,/ɪ'reɪzə/,"Press to bring up the eraser tool, orfind it in your Toolbox.",按调出橡皮擦工具，或在你的工具栏里找到它。
en:crayon:unknown:1,crayon,unknown,蜡笔,蜡笔,/kreən/,/ˈkreɪən/,He coloured the picture with crayon.,他用蜡笔给画上色。
en:bag:unknown:1,bag,unknown,包,包,/bæɡ/,/bæg/,I took the gift out of my bag.,我把礼物从我的包里拿出来。
en:pen:unknown:1,pen,unknown,钢笔,钢笔,/pɛn/,/pen/,a ballpoint pen,圆珠笔
en:pencil-box:unknown:1,pencil box,unknown,铅笔盒,铅笔盒,/'pɛnsl bɑks/,,Put the pen and pencil in the pencil box.,把钢笔和铅笔放在文具盒里。
en:book:unknown:1,book,unknown,书,书,/bʊk/,/bʊk/,I’ve just started reading a book by Graham Greene.,我刚开始看格雷厄姆·格林写的一本书。
en:no:unknown:1,no,unknown,不,不,/no/,/nəʊ/,"‘Are you Italian?’ ‘No, I’m Spanish.’",“你是意大利人吗？”“不，我是西班牙人。”
en:your:unknown:1,your,unknown,你（们）的,你（们）的,/jʊər; jʊr/,/jɔ:(r)/,Could you move your car?,你能把你的车挪一下吗？
en:red:unknown:1,red,unknown,红色；红色的,红色；红色的,/rɛd/,/red/,We painted the door bright red .,我们把门漆成鲜红色。
en:green:unknown:1,green,unknown,绿色；绿色的,绿色；绿色的,/ɡrin/,/griːn/,beautiful green eyes,漂亮的碧眼
en:yellow:unknown:1,yellow,unknown,黄色；黄色的,黄色；黄色的,/ˈjɛlo/,/'jeləʊ/,yellow flowers,黄花
en:blue:unknown:1,blue,unknown,蓝色；蓝色的,蓝色；蓝色的,/blu/,/bluː/,the blue waters of the lake,蓝蓝的湖水
en:black:unknown:1,black,unknown,黑色；黑色的,黑色；黑色的,/blæk/,/blæk/,a black evening dress,黑色晚礼服
en:brown:unknown:1,brown,unknown,棕色；棕色的,棕色；棕色的,/braʊn/,/braʊn/,dark brown hair,深褐色的头发
en:white:unknown:1,white,unknown,白色；白色的,白色；白色的,/hwaɪt/,/waɪt/,a white dress,白色连衣裙
en:orange:unknown:1,orange,unknown,橙色；橙色的,橙色；橙色的,/'ɔrɪndʒ/,/'ɒrɪn(d)ʒ/,a bright shade of orange,鲜艳的橘黄色
en:ok:unknown:1,OK,unknown,好；行,好；行,,,‘Can I take the car today?’ ‘Okay.’,“今天我能用这辆车吗？”“行啊。”
